MCCOD Data Dictionary, ,,,
Element Name,Identifier,,Data Type,DESCRIPTION (NOTES)
HMIS_100_  Ministry of Health National Case Number,ZKBE8Xm9DJG,,NUMBER,Autogenerated DHIS2 unique Identifier-Hexadecimal Alphanumeric number
HMIS_100_  NIN,MOstDqSY0gO,,TEXT,National Identification Number Entered Manually By user: 14 Digit Number ...
HMIS_100_   Full Name,ZYKmQ9GPOaF,,TEXT,Deceased's name (Full name as usually written) entered with names separated by a space
HMIS_100_  Usual Residence-Village,zwKo51BEayZ,,TEXT,"Place where the deceased actually lived. This can be different from the place where the death occurred.
"
HMIS_100_  Place of birth,Z41di0TRjIu,,TEXT,"The name of the Hospital/Institution or the address of the house where the death took place
"
HMIS_100_  Occupation,dsiwvNQLe5n,,TEXT,Describes what the deceased does for a living 
HMIS_100_  Date of Birth,RbrUuKFSqkZ,,TEXT,The date when the deceased was born
HMIS_100_  Age,q7e7FOXKnOf,,NUMBER,"Age of the deceased at the time of death: (if the deceased was over 1 year of age, in completed years. If the deceased was below 1 year of age, indicate 0)"
HMIS_100_  Sex,e96GB4CXyd3,,TEXT,Male or Female
HMIS_100_  Date and time of Death,i8rrl8YWxLF,,Date Time format-dd/mm/yyyy-,"The date and time of death of the deceased's death (Selected from a calendar which allow the hours, minutes and seconds to be selected)"
HMIS_100_  Report disease or condition directly leading to death-Cause of death_a,sfpqAeqKeyQ,,TEXT,"Full text/not abbreviated, only one disease, injury or complication that directly or finally caused death, the immediate cause of death, not the mode of dying such as heart,cardiac or respiratory failure or arrest"
HMIS_100_  code_cause_of_death_a,zD0E77W4rFs,,TEXT,One or more  codes  auto assigned and selected from the ICD-11 Smart coding online or offline tool that represent the meaning of a condition above in as much detail as required.
HMIS_100_  freetext_cause_of_death_a,cSDJ9kSJkFP,,TEXT,"If ICD 11 code is not found above, full text the condition (Disease, injury or complication) as captured in line a on the paper MCCD form exactly as it was written by the physician"
HMIS_100_  Time interval_a,WkXxkKEJLsg,,NUMBER,Time interval in number between onset of cause of death a and death -May be an approximation.
020-100-MD01ba. Type_of_interval_for_a,Ylht9kCLSRW,,TEXT,"The type of the time interval given in line a above in seonds,minutes, hours days or years"
HMIS_100_  Report chain of events -due to� in order-Cause of death_b,zb7uTuBCPrN,,TEXT,"Full text/not an abbreviated term for only one disease, injury, or complication that gave rise to or resulted in the immediate/ direct cause of death stated in line a"
HMIS_100_  code_cause_of_death_b,tuMMQsGtE69,,TEXT,One or more codes auto assigned and selected from the ICD-11 Smart coding online or offline tool that represent the meaning of a condition b above in as much detail as required.
